id,cfdi_concepto_impuestos_id,base,impuesto,tipo_factor,tasa_o_cuota,importe,created_at,updated_at
195,195,51.720000,002,Tasa,0.160000,8.280000,2026-01-15 20:59:52,2026-01-15 20:59:52
196,196,1248.280000,002,Tasa,0.160000,199.720000,2026-01-15 20:59:52,2026-01-15 20:59:52
197,197,2407.610000,002,Tasa,0.160000,385.220000,2026-01-15 20:59:52,2026-01-15 20:59:52
198,198,25.370000,002,Tasa,0.160000,4.060000,2026-01-15 20:59:52,2026-01-15 20:59:52
199,199,2432.940000,002,Tasa,0.160000,389.270000,2026-01-15 20:59:52,2026-01-15 20:59:52
200,200,795.960000,002,Tasa,0.160000,127.350000,2026-01-15 20:59:52,2026-01-15 20:59:52
201,201,122.120000,002,Tasa,0.160000,19.540000,2026-01-15 20:59:52,2026-01-15 20:59:52
202,202,427.210000,002,Tasa,0.160000,68.350000,2026-01-15 20:59:52,2026-01-15 20:59:52
203,203,676.720000,002,Tasa,0.160000,108.280000,2026-01-15 20:59:52,2026-01-15 20:59:52
204,204,1169.000000,002,Tasa,0.160000,187.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
205,205,3899.000000,002,Tasa,0.160000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
206,206,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
207,207,2799.000000,002,Tasa,0.160000,447.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
208,208,529.000000,002,Tasa,0.160000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
209,209,289.000000,002,Tasa,0.160000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
210,210,529.000000,002,Tasa,0.160000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
211,211,1999.000000,002,Tasa,0.160000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
212,212,629.000000,002,Tasa,0.160000,100.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
213,213,8100.000000,002,Tasa,0.160000,1296.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
214,214,31720.000000,002,Tasa,0.160000,5075.200000,2026-01-15 20:59:52,2026-01-15 20:59:52
215,215,9990.000000,002,Tasa,0.160000,1598.400000,2026-01-15 20:59:52,2026-01-15 20:59:52
216,216,3349.000000,002,Tasa,0.160000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
